0,386372
6,68845
0,26802
9,222
8,30859
6,55139
3,82583
2,56628
3,65051
7,18442
5,97279
0,0337291
3,2011
3,65107
8,48677
4,01157
2,08303
4,6706
0,273039
9,30278
0,181431
1,73224
1,23941
9,57858
8,2604
6,40294
6,93451
9,08318
1,4581
1,38398
1,11346
5,37491
0,639753
4,58796
2,57328
9,49075
3,32976
7,2831
6,44444
1,10032
1,57734
5,95103
0,342442
7,74633
0,211059
5,833
2,42766
1,44075
7,21534
1,17156
6,66456
1,76756
8,88023
5,64098
0,638858
7,89747
7,92275
8,10565
4,69418
3,16954
2,44893
1,10975
4,33979
1,73073
4,26722
1,68317
5,96422
4,64681
4,0443
7,38015
0,266629
4,81841
2,69347
7,22387
8,3296
0,151941
6,4623
1,62133
5,4572
1,3945
9,34283
2,70198
2,24131
3,21138
3,0264
9,72207
3,14156
7,1695
7,3015
5,14904
7,34707
1,2965
7,56915
4,42019
8,99961
2,55235
8,70088
6,2023
4,19193
1,31258
2,28863
2,259
8,90024
4,3853
5,17699
8,97094
6,41154
4,9397
1,09747
8,04632
3,45083
3,67211
2,46054
9,69031
5,06583
6,40957
8,49206
5,45517
2,91447
5,07177
0,850411
3,78589
9,49025
6,2839
8,50939
8,8108
0,467878
9,31447
5,42496
7,44909
7,67785
8,65574
6,57138
7,2567
2,83851
2,57981
2,63762
8,31269
5,31296
4,0697
1,58779
5,13849
9,61161
3,30407
9,05779
4,86464
5,28036
8,77111
2,56722
6,09899
9,5432
4,14244
4,52149
4,07692
9,62727
0,563265
7,3668
0,486984
2,38491
6,6543
8,84557
9,57255
4,4617
9,39477
8,21178
3,0081
0,776668
3,67988
6,92311
0,0833061
2,46911
3,9339
2,47858
5,24149
2,26904
8,28509
5,94943
7,66136
3,35004
0,681335
3,14041
8,81715
5,7627
9,1633
9,465
5,02683
6,50837
4,44459
0,808141
0,957715
3,77425
8,5764
9,61582
7,46488
0,940959
7,94315
9,37747
5,07295
1,36746
2,50663
8,72354
9,10186
8,46027
1,53608
3,03196
3,33648
6,53905
4,25936
5,55354
6,49117
7,61746
5,62385
2,78232
0,371001
5,07856
1,59477
4,35866
4,45283
3,81118
0,402945
7,91512
4,47558
2,44403
4,4334
5,69825
2,94545
8,05087
6,25616
9,85803
1,0744
5,7871
0,221096
3,64878
3,91577
1,3749
8,6669
1,11507
0,205338
1,18993
9,46855
9,50589
0,389614
5,63831
1,43605
1,0215
2,1522
7,34945
7,84048
5,3802
0,107632
6,80668
3,74101
4,32399
8,25239
3,76575
4,27124
4,68016
5,02008
2,51767
3,74292
5,64458
8,17038
5,83155
9,17675
4,48777
6,65504
7,54826
6,45348
3,69669
9,48693
9,97443
8,11737
1,61754
8,96688
1,47413
2,14916
7,0143
2,97384
0,0191697
0,878619
7,34784
0,86071
8,67614
9,87618
5,63405
5,5538
5,38495
7,99852
6,31819
3,80521
8,39513
5,6768
7,27499
8,70145
6,57656
1,70071
0,528721
2,78276
3,61552
4,96146
3,24933
9,21528
6,78507
5,04365
2,92261
4,4339
1,98648
9,3329
6,23513
2,10831
5,09499
0,720482
2,97571
7,20466
8,46791
8,83075
6,20852
6,32223
7,09033
3,76385
0,232939
9,47613
1,06698
9,11915
2,1656
2,92524
7,5728
5,05986
5,67365
7,78373
1,69011
3,50268
0,023927
1,699
9,27711
5,78559
1,07173
2,25591
4,31017
4,9523
6,76712
5,05529
7,33777
6,73422
6,06059
3,41654
6,10872
9,18338
8,03137
3,88674
3,13548
6,79449
6,73064
3,27601
9,99984
0,728104
9,06981
9,25132
8,73074
7,93556
1,16316
4,22978
0,180302
4,40312
4,52211
9,66704
8,35701
0,61924
3,73616
1,10145
8,73442
9,82588
5,50338
5,30424
3,01106
0,191779
4,92082
8,31123
0,951858
6,1822
7,44517
8,6208
5,8387
6,6747
2,79507
6,26318
7,42532
9,12399
8,96953
6,02382
8,78545
7,68452
9,64994
2,59226
5,17591
2,06008
0,491735
9,07679
9,73462
7,55367
8,34762
2,08042
1,09691
6,63449
5,42141
4,05425
6,77119
9,35144
5,89737
2,20152
7,84536
9,36353
1,40928
2,92956
9,58998
0,214176
1,07092
9,57136
2,8326
0,355884
5,13052
9,80979
4,09595
9,84356
3,22708
4,04533
3,249
6,25456
5,07797
1,74541
2,92551
3,01907
5,11218
6,98986
5,95976
2,63984
9,8628
0,00759599
9,91539
4,78747
1,36636
4,55503
2,88567
0,103593
9,60139
2,57274
4,89199
8,62581
1,91266
1,31985
4,49076
2,67114
0,298041
0,21682
3,96302
5,31987
2,07767
3,03832
5,5573
3,78633
1,74785
1,55225
0,68006
9,53833
4,60388
0,410121
1,71346
1,66332
3,68025
1,47513
1,05915
9,47917
4,82711
0,43691
6,84432
5,69698
3,465
4,52188
3,85543
8,75597
2,20938
6,37989
9,86362
4,41575
9,21487
9,62354
8,75862
9,12581
4,45265
9,65501
7,62116
1,76594
2,29147
1,76066
0,295136
7,51002
0,153029
4,71107
6,00525
3,57014
8,85012
9,82346
0,655749
7,34135
3,40237
0,384997
8,1839
8,4626
6,73743
8,28275
2,67343
9,80211
1,22754
3,43182
3,37043
8,3824
6,87047
3,53851
4,20824
4,3371
1,56726
