0 2,23692
0 2,23692
0,842686 -0,452236
0,652861 -0,301418
0,829494 -0,360734
0,621163 -0,0381828
0,451069 -0,0261324
0,412641 0,262975
0,247661 0,2683
0,187324 0,656935
0,0783956 0,670791
0,0502849 0,853933
0,0518714 0,720465
0,0607128 0,696294
0,0324464 1,2363
0,0429206 0,972478
0,415575 0,228986
0,037558 1,09955
0,00495296 2,04343
0,0321147 1,2951
0,00621605 1,98284
0,415854 0,177345
0,193147 0,616929
0,0783956 0,670791
0,0265081 1,38877
0,00105031 2,17441
0,20481 0,516606
0,00864283 1,96954
0,218643 0,464364
0,631665 -0,175697
0,6285 -0,140478
0,00302444 2,09376
0,437224 0,00748144
0,229134 0,363892
0,011527 1,80758
0,0401138 1,03236
0,432473 0,0317043
0,0100088 1,86398
0,838288 -0,435958
0,0159581 1,69394
0,221835 0,424077
0,421933 0,163905
0,0216673 1,52647
0,626419 -0,11472
0,0494916 0,921288
0,0131819 1,77448
0,00221056 2,13842
0,200923 0,550951
0,0172905 1,63806
0,441711 -0,0149957
0,0494916 0,921288
0,633481 -0,202956
0,636919 -0,227243
0,209031 0,497459
0,244361 0,293213
0,196421 0,60104
0,424341 0,109521
0,0289812 1,3141
0,199906 0,572042
0,213423 0,475948
0,833891 -0,405073
0,0186347 1,60387
0,6246 -0,0802589
0,0208624 1,55472
0,422108 0,122621
0,0111827 1,84404
0,241962 0,317002
0,0164376 1,66692
0,026261 1,43064
0,225978 0,392494
0,429262 0,0574213
0,232287 0,336629
0,832426 -0,391725
0,00907331 1,91263
0,00457668 2,06967
0,0343106 1,18594
0,0193625 1,58176
0,0356313 1,14289
0,639629 -0,251646
0,624031 -0,0595826
0,0518714 0,720465
0,00907331 1,91263
0,234093 0,321295
0,641356 -0,266648
0,0242359 1,45243
0,0343106 1,18594
0,0277499 1,35356
0,0143069 1,7351
0,0419213 0,993546
0,223108 0,403708
0,0231581 1,48915
0,0403444 1,00958
0,426933 0,0725167
0,028256 1,3474
0,412641 0,262975
0,0141703 1,74403
0,646145 -0,291855
0,0370763 1,11606
0,449823 -0,0223094
0,644785 -0,28468
