0 2,84407
0 2,84407
0,580476 0,702941
0,0898331 1,01847
0,0207909 1,05885
0,00117642 2,7526
0,0583791 1,03622
0,422687 0,821336
0,116262 1,00792
0,0583791 1,03622
0,0191967 1,25275
0,175254 0,973628
0,0196946 1,1665
0,311894 0,908313
0,251031 0,938789
0,0168876 1,46075
0,00352926 2,56966
0,452936 0,820875
0,545381 0,739382
0,0200601 1,13061
0,017502 1,38176
0,273784 0,934245
0,374016 0,861196
0,0189478 1,29588
0,00535031 2,41634
0,00214873 2,68877
0,296656 0,916279
0,475283 0,786367
0,00458028 2,48245
0,00687649 2,2706
0,562929 0,721447
0,0123551 1,83426
0,152741 0,97667
0,0151671 1,57584
0,0179839 1,35313
0,00425979 2,51213
0,0108486 1,93767
0,211668 0,958958
0,118001 0,986076
0,199757 0,965056
0,00729465 2,22511
0,574763 0,710103
0,0143877 1,62541
0,554155 0,730486
0,325317 0,898127
0,133555 0,982163
0,337755 0,889857
0,007768 2,18934
0,411573 0,838561
0,490949 0,785837
0,0138606 1,65408
0,464249 0,811097
0,012442 1,77832
0,2206 0,951336
0,228706 0,948107
0,0114632 1,8956
0,530222 0,754132
0,362155 0,879274
0,390821 0,853975
0,00264595 2,65502
0,0155099 1,53723
0,138332 0,980864
0,0136463 1,69864
0,0133292 1,71869
0,467602 0,800664
0,519106 0,755392
0,0116478 1,86947
0,0127643 1,76168
0,505901 0,768415
0,186719 0,973206
0,366777 0,870264
0,515869 0,766243
0,00562921 2,38302
0,00633742 2,32061
0,238647 0,944532
0,420067 0,838091
0,0107191 1,98369
0,00821204 2,14836
0,005834 2,3567
0,151337 0,979012
0,350562 0,889597
0,190369 0,966669
0,00887598 2,09623
0,00936186 2,04278
0,00267444 2,62176
0,0092454 2,08088
0,276675 0,926524
0,00863546 2,13486
0,330833 0,897015
0,500495 0,772351
0,350886 0,881526
0,00960475 2,02678
0,0163914 1,49742
0,452936 0,820875
0,242723 0,941085
0,492815 0,773695
0,0100457 1,9926
0,399821 0,841511
0,399821 0,841511
0,390821 0,853975
