0 5,77116
0,868311 0,496007
0 5,77116
0,273335 1,41862
0,307658 1,38753
0,055874 1,67237
0,0171648 2,80504
0,0180588 2,50388
0,246756 1,45375
0,806333 0,631699
0,121112 1,60371
0,0116874 3,67266
0,349446 1,31043
0,456345 1,19711
0,518384 1,12366
0,0128297 3,48437
0,847298 0,546785
0,430974 1,24005
0,829033 0,587211
0,0473295 1,83372
0,793241 0,660063
0,669248 0,886208
0,334443 1,33817
0,719478 0,804674
0,548501 1,07827
0,100895 1,64597
0,00935328 4,07174
0,0160592 2,83186
0,69161 0,851732
0,0033026 5,16833
0,00872359 4,17071
0,00778828 4,38523
0,597805 1,00502
0,404333 1,26607
0,00616858 4,63191
0,144126 1,59078
0,699711 0,839698
0,000296052 5,71915
0,0155026 3,02892
0,491412 1,1495
0,0140597 3,23268
0,572564 1,04358
0,621641 0,974571
0,659764 0,905125
0,00181847 5,44347
0,0100011 3,9401
0,00266446 5,30308
0,0401236 1,96375
0,642704 0,930941
0,070881 1,66385
0,0152243 3,12744
0,775345 0,695114
0,750909 0,744707
0,0185057 2,3533
0,165114 1,56086
0,00546949 4,82059
0,0386808 2,02242
0,372875 1,30264
0,730208 0,782223
0,421783 1,24283
0,179611 1,54386
0,390681 1,27608
0,570821 1,0507
0,868311 0,496007
0,00475899 4,97229
0,602688 1,00338
0,0459909 1,86488
0,0309618 2,12659
0,47279 1,17403
0,105301 1,63415
0,743311 0,761172
0,21897 1,48912
0,00118421 5,56312
0,539213 1,09793
0,212566 1,50565
0,152563 1,57696
0,197224 1,51589
0,0180588 2,50388
0,527834 1,11208
0,00569243 4,74163
0,0262247 2,24926
0,837322 0,565369
0,0324367 2,11323
0,0262247 2,24926
0,0131309 3,42296
0,00693941 4,52513
0,0111929 3,75199
0,00222854 5,36388
0,775345 0,695114
0,490781 1,16871
0,316827 1,35824
0,189975 1,52464
0,379847 1,30144
0,0038325 5,07936
0,010281 3,8724
0,00846056 4,29026
0,0109113 3,81719
0,00118421 5,56312
0,467363 1,19588
0,00674244 4,52904
