0 1,0716
0,97821 0,0344775
0 1,0716
0,897459 0,0717728
0,0986142 0,694467
0,266819 0,501016
0,0595397 0,781393
0,0916658 0,72406
0,417178 0,36997
0,922126 0,0617749
0,4347 0,344779
0,00713479 0,988089
0,015368 0,937244
0,0432206 0,823588
0,168429 0,589599
0,846029 0,0981529
0,672931 0,182127
0,828077 0,106288
0,0613959 0,752218
0,739295 0,152987
0,143239 0,641374
0,157995 0,608689
0,310265 0,445924
0,950583 0,0478029
0,0192818 0,917056
0,00335289 1,00876
0,112363 0,683403
0,724217 0,165693
0,657565 0,189096
0,0356466 0,84444
0,0808592 0,732402
0,635167 0,213833
0,871866 0,0864505
0,495346 0,304434
0,464604 0,325191
0,959516 0,0434928
0,0253277 0,884224
0,000693011 1,04657
0,281597 0,476231
0,0775499 0,751071
0,794886 0,122188
0,609979 0,23161
0,0245051 0,902309
0,860956 0,0900758
0,392236 0,376537
0,132429 0,666798
0,117223 0,670155
0,456442 0,338077
0,367685 0,397078
0,509263 0,294104
0,030176 0,86727
0,475039 0,31634
0,693566 0,17731
0,14779 0,615566
0,324827 0,439161
0,914996 0,0638074
0,206995 0,55437
0,584035 0,249487
0,711418 0,166237
0,617935 0,22028
0,297866 0,457361
0,484422 0,309248
0,407108 0,371207
0,252626 0,503288
0,0100587 0,959287
0,239454 0,518293
0,651317 0,201875
0,056059 0,804282
0,81413 0,113848
0,570385 0,254067
0,23435 0,531187
0,340327 0,420121
0,702478 0,176736
0,384828 0,386536
0,647778 0,209998
0,552664 0,26165
0,589409 0,238808
0,248391 0,51436
0,97821 0,0344775
0,216045 0,537424
0,81081 0,118409
0,197265 0,568328
0,0329022 0,855179
0,358094 0,413658
0,0540198 0,812249
0,546772 0,269338
0,78405 0,129751
0,534712 0,281482
0,0100587 0,959287
0,521685 0,287043
0,292627 0,466453
0,211381 0,547537
0,565996 0,260668
0,000693011 1,04657
0,227796 0,536184
0,767217 0,136701
0,777991 0,132465
0,00416654 1,00593
0,752761 0,14658
0,348423 0,415041
