0 1,00349
0,680064 0,17534
0 1,00349
0,15055 0,61465
0,0129291 0,889599
0,0685002 0,741437
0,00873547 0,909873
0,349285 0,411207
0,564401 0,24972
0,130986 0,640764
0,00137594 0,966323
0,079029 0,721749
0,0574807 0,763461
0,359439 0,402052
0,0404259 0,802113
0,123183 0,651565
0,537494 0,267726
0,551695 0,258403
0,137617 0,631898
0,405274 0,364713
0,588114 0,233637
0,376909 0,387586
0,00275188 0,950926
0,500808 0,29372
0,00428776 0,93789
0,392664 0,376174
0,0169054 0,873292
0,454822 0,326633
0,530324 0,274295
0,615309 0,221375
0,233658 0,518683
0,649338 0,197959
0,220875 0,532074
0,443126 0,335701
0,46601 0,31866
0,000341762 0,984965
0,0189843 0,865546
0,675187 0,185928
0,0273 0,838019
0,599162 0,227351
0,0501516 0,779517
0,521591 0,27855
0,546784 0,261295
0,632473 0,20835
0,490337 0,303321
0,17683 0,582647
0,0726039 0,733505
0,213548 0,540111
0,092483 0,698987
0,581703 0,238495
0,38594 0,380173
0,157983 0,605333
0,667457 0,187779
0,0989421 0,688258
0,242942 0,508939
0,0346481 0,817185
0,169382 0,591143
0,0861893 0,709908
0,367305 0,397814
0,0463309 0,787873
0,37021 0,393046
0,268939 0,483165
0,283199 0,469517
0,323237 0,4346
0,459384 0,324995
0,33201 0,426905
0,641614 0,205663
0,0438366 0,793927
0,573281 0,245063
0,624002 0,217025
0,160215 0,602777
0,234006 0,518428
0,0228334 0,852162
0,0847835 0,711749
0,658207 0,1887
0,513632 0,285234
0,625566 0,212645
0,000102973 0,993321
0,317439 0,439203
0,209076 0,545267
0,0944354 0,695791
0,34014 0,418652
0,11822 0,659317
0,195032 0,561244
0,327301 0,429574
0,276217 0,476171
0,00632809 0,923827
0,337598 0,420542
0,604661 0,223292
0,166662 0,594682
0,440273 0,33786
0,0307096 0,828044
0,313819 0,442044
0,474584 0,314719
0,308748 0,44598
0,20536 0,549028
0,643225 0,199945
0,219828 0,533624
0,137617 0,631898
0,00655243 0,922413
