0 3,80642
0 3,80642
0,580476 0,702941
0,0220631 1,36913
0,0237188 1,16798
0,231346 0,95438
0,175254 0,973628
0,0168061 1,9373
0,0105453 2,63845
0,0118078 2,49539
0,118958 1,00957
0,217503 0,963032
0,194812 0,96753
0,0212955 1,46976
0,297804 0,92519
0,00395852 3,3735
0,0310571 1,15671
0,315336 0,915164
0,0193264 1,65675
0,0189716 1,70435
0,151337 0,979012
0,0172432 1,8919
0,020366 1,56267
0,253539 0,945722
0,0538434 1,12013
0,00232255 3,55195
0,00183641 3,60484
0,40594 0,857585
0,160228 0,977207
0,0125701 2,4114
0,503787 0,780758
0,289381 0,929021
0,563336 0,724214
0,489614 0,790993
0,0157826 2,06103
0,0655068 1,10097
0,20342 0,966937
0,395085 0,865112
0,533996 0,750909
0,0132002 2,3467
0,00768872 2,95736
0,00100304 3,69625
0,478539 0,801191
0,00492655 3,27146
0,574763 0,710103
0,431503 0,837504
0,00829008 2,90007
0,554155 0,730486
0,385605 0,873844
0,275322 0,935949
0,00320295 3,4542
0,0103788 2,65981
0,0045266 3,30938
0,112018 1,0301
0,520577 0,764536
0,00718629 3,01081
0,133555 0,982163
0,00300913 3,47592
0,0897641 1,06267
0,0457339 1,13387
0,356936 0,890739
0,018123 1,79877
0,133555 0,982163
0,0209117 1,52007
0,018123 1,79877
0,00113783 3,68047
0,346795 0,896861
0,00865115 2,8506
0,417265 0,850209
0,0135788 2,29725
0,00550923 3,20169
0,545381 0,739382
0,421443 0,846766
0,0089739 2,80966
0,440016 0,833204
0,00960503 2,74078
0,00617805 3,13318
0,499542 0,783417
0,471564 0,807966
0,363542 0,886159
0,337278 0,902118
0,520577 0,764536
0,0152318 2,12327
0,377199 0,877943
0,105834 1,04649
0,266823 0,940087
0,326646 0,90992
0,0142759 2,22672
0,371232 0,881318
0,46439 0,811469
0,00675079 3,05812
0,0848984 1,07131
0,446513 0,830096
0,256208 0,943833
0,452673 0,823521
0,458175 0,817613
0,540063 0,746668
0,0148289 2,15939
0,0791825 1,08393
0,00937318 2,76609
