0 1,04689
0 1,04689
0,451365 -0,01067
0,260998 0,284842
0,418053 0,262587
0,0928781 0,674633
0,185445 0,665918
0,00133435 1,00776
0,233281 0,327821
0,238753 0,287374
0,00632576 0,953025
0,0626681 0,691894
0,223156 0,388092
0,238753 0,287374
0,256307 0,287041
0,214141 0,455017
0,0724649 0,690103
0,194768 0,610021
0,43038 0,117062
0,217336 0,434515
0,420323 0,234405
0,427713 0,146362
0,445974 0,00587468
0,0481375 0,736793
0,428866 0,134451
0,0404546 0,762423
0,426094 0,163955
0,186684 0,652221
0,22498 0,371324
0,421092 0,221064
0,0338073 0,794282
0,0455255 0,750288
0,431905 0,102196
0,0595807 0,701994
0,439184 0,0418295
0,0256593 0,841841
0,0771965 0,684906
0,0841865 0,679782
0,219173 0,429027
0,0150269 0,898581
0,0178652 0,881488
0,422489 0,20619
0,197435 0,585731
0,0308344 0,803798
0,196615 0,599406
0,0272151 0,832455
0,00800713 0,943071
0,220116 0,409543
0,230123 0,340326
0,448669 -0,0040007
0,00400306 0,97664
0,206322 0,516318
0,221414 0,404675
0,204613 0,537821
0,228734 0,351032
0,212809 0,465202
0,0395125 0,784625
0,208178 0,503179
0,425122 0,175302
0,20971 0,491998
0,202244 0,557797
0,205236 0,537185
0,190027 0,624364
0,433163 0,0907388
0,0511553 0,727838
0,00989421 0,93115
0,013581 0,912688
0,4368 0,0603051
0,044226 0,760484
0,424111 0,186187
0,423389 0,195211
0,0166065 0,888301
0,200337 0,57303
0,211902 0,477022
0,0291964 0,819863
0,441739 0,0265786
0,419013 0,253168
0,0189773 0,862588
0,0836838 0,684709
0,440261 0,0359005
0,443081 0,0188733
0,435882 0,0677636
0,00994501 0,923286
0,00266871 0,990448
0,0382022 0,788026
0,0520569 0,721448
0,210586 0,483133
0,231923 0,32918
0,0296826 0,815209
0,202244 0,557797
0,0553771 0,717437
0,199752 0,57562
0,0120092 0,915664
0,0199408 0,847097
0,435021 0,076892
0,434202 0,0823791
0,189441 0,640953
0,190027 0,624364
0,0199408 0,847097
0,0189773 0,862588
